tender_id,honest_winner,honest_public_value,corrupt_candidate,corrupt_firm_payoff,corruption_attempted,official_accepts,corruption_accepted,award_distorted,final_winner,final_public_value,corruption_loss
36,T036_F2,81.2052119970722,T036_F4,148.87830658707298,True,True,True,True,T036_F4,67.87072232210002,13.334489674972176
37,T037_F2,72.78294210079972,T037_F1,130.7639238580067,True,True,True,True,T037_F1,43.35403248565519,29.428909615144526
38,T038_F1,83.61265952099836,T038_F3,146.83486825159505,True,True,True,True,T038_F3,57.943360216711255,25.669299304287108
39,T039_F3,77.37312652706532,T039_F2,155.129391611841,True,True,True,True,T039_F2,46.71345824627397,30.65966828079135
40,T040_F1,78.68123050235555,T040_F2,159.07897201705865,True,True,True,True,T040_F2,59.073238424262,19.607992078093545
41,T041_F2,80.16865983424192,T041_F4,159.58507491583043,True,True,True,True,T041_F4,47.494814546757425,32.6738452874845
42,T042_F1,77.03087365812159,T042_F3,152.4333098742281,True,True,True,True,T042_F3,52.53819287624181,24.492680781879784
43,T043_F1,85.48018790746106,T043_F4,151.5389716334628,True,True,True,True,T043_F4,57.11254516957986,28.367642737881198
44,T044_F2,89.02329242818632,T044_F4,158.7534780224368,True,True,True,True,T044_F4,53.34628950279322,35.677002925393104
45,T045_F3,76.72141027919224,T045_F1,124.54839865748784,True,True,True,True,T045_F1,63.31621982850028,13.405190450691961
46,T046_F3,72.7923121312794,T046_F2,157.55994085813649,True,True,True,True,T046_F2,60.3348497684823,12.457462362797102
47,T047_F1,86.59938183477414,T047_F5,156.49233140428592,True,True,True,True,T047_F5,58.44849613281127,28.150885701962864
48,T048_F1,80.29727562802582,T048_F3,152.47450839133433,True,True,True,True,T048_F3,55.065336869440415,25.2319387585854
49,T049_F4,82.71068729135618,T049_F2,157.134982950741,True,True,True,True,T049_F2,64.21992924569221,18.490758045663966
50,T050_F2,87.52994036725396,T050_F1,159.3162339111746,True,True,True,True,T050_F1,63.64876314541906,23.881177221834896
51,T051_F1,76.59076779951774,T051_F3,143.5708077030341,True,True,True,True,T051_F3,56.01819811553487,20.572569683982863
52,T052_F5,80.7166455004702,T052_F1,153.5492613812396,True,True,True,True,T052_F1,65.87008453852948,14.84656096194071
53,T053_F1,81.52183866401295,T053_F5,154.61961461111514,True,True,True,True,T053_F5,49.55789283317611,31.963945830836835
54,T054_F3,83.24571633639303,T054_F1,157.17534810913392,True,True,True,True,T054_F1,51.97368595340683,31.272030382986202
55,T055_F5,92.80779288328588,T055_F2,158.6922658458737,True,True,True,True,T055_F2,60.5441605794242,32.263632303861684
