p,official_penalty,official_accept_payoff,official_prefers_accept
0.06,355,-1.3000000000000007,False
0.06,360,-1.5999999999999979,False
0.06,365,-1.8999999999999986,False
0.06,370,-2.1999999999999993,False
0.06,375,-2.5,False
0.06,380,-2.8000000000000007,False
0.06,385,-3.099999999999998,False
0.06,390,-3.3999999999999986,False
0.06,395,-3.6999999999999993,False
0.06,400,-4.0,False
0.06,405,-4.300000000000001,False
0.06,410,-4.599999999999998,False
0.06,415,-4.899999999999999,False
0.06,420,-5.199999999999999,False
0.06,425,-5.5,False
0.06,430,-5.800000000000001,False
0.06,435,-6.099999999999998,False
0.06,440,-6.399999999999999,False
0.06,445,-6.699999999999999,False
0.06,450,-7.0,False
0.06,455,-7.300000000000001,False
0.06,460,-7.599999999999998,False
0.06,465,-7.899999999999999,False
0.06,470,-8.2,False
0.06,475,-8.5,False
0.06,480,-8.799999999999997,False
0.06,485,-9.099999999999998,False
0.06,490,-9.399999999999999,False
0.06,495,-9.7,False
0.06,500,-10.0,False
0.07,0,20.0,True
0.07,5,19.65,True
0.07,10,19.3,True
0.07,15,18.95,True
0.07,20,18.6,True
0.07,25,18.25,True
0.07,30,17.9,True
0.07,35,17.55,True
0.07,40,17.2,True
0.07,45,16.85,True
0.07,50,16.5,True
0.07,55,16.15,True
0.07,60,15.8,True
0.07,65,15.45,True
0.07,70,15.1,True
0.07,75,14.75,True
0.07,80,14.399999999999999,True
0.07,85,14.05,True
0.07,90,13.7,True
0.07,95,13.35,True
0.07,100,13.0,True
0.07,105,12.649999999999999,True
0.07,110,12.299999999999999,True
0.07,115,11.95,True
0.07,120,11.6,True
0.07,125,11.25,True
0.07,130,10.899999999999999,True
0.07,135,10.549999999999999,True
0.07,140,10.2,True
0.07,145,9.85,True
0.07,150,9.499999999999998,True
0.07,155,9.149999999999999,True
0.07,160,8.799999999999999,True
0.07,165,8.45,True
0.07,170,8.1,True
0.07,175,7.749999999999998,True
0.07,180,7.399999999999999,True
0.07,185,7.049999999999999,True
0.07,190,6.699999999999999,True
0.07,195,6.349999999999998,True
0.07,200,5.999999999999998,True
0.07,205,5.649999999999999,True
0.07,210,5.299999999999999,True
0.07,215,4.949999999999999,True
0.07,220,4.599999999999998,True
0.07,225,4.249999999999998,True
0.07,230,3.8999999999999986,True
0.07,235,3.549999999999997,True
0.07,240,3.1999999999999993,True
0.07,245,2.849999999999998,True
0.07,250,2.5,True
0.07,255,2.1499999999999986,True
0.07,260,1.7999999999999972,True
0.07,265,1.4499999999999993,True
0.07,270,1.0999999999999979,True
0.07,275,0.7499999999999964,True
0.07,280,0.3999999999999986,True
0.07,285,0.04999999999999716,True
0.07,290,-0.3000000000000007,False
0.07,295,-0.6500000000000021,False
0.07,300,-1.0000000000000036,False
0.07,305,-1.3500000000000014,False
0.07,310,-1.7000000000000028,False
0.07,315,-2.0500000000000007,False
0.07,320,-2.400000000000002,False
0.07,325,-2.7500000000000036,False
0.07,330,-3.1000000000000014,False
0.07,335,-3.450000000000003,False
0.07,340,-3.8000000000000007,False
0.07,345,-4.150000000000002,False
0.07,350,-4.5000000000000036,False
0.07,355,-4.850000000000001,False
0.07,360,-5.200000000000003,False
0.07,365,-5.550000000000001,False
0.07,370,-5.900000000000002,False
0.07,375,-6.2500000000000036,False
0.07,380,-6.600000000000001,False
0.07,385,-6.950000000000003,False
0.07,390,-7.300000000000004,False
0.07,395,-7.650000000000002,False
0.07,400,-8.000000000000004,False
0.07,405,-8.350000000000001,False
0.07,410,-8.700000000000003,False
0.07,415,-9.050000000000004,False
0.07,420,-9.400000000000002,False
0.07,425,-9.750000000000004,False
0.07,430,-10.100000000000001,False
0.07,435,-10.450000000000003,False
0.07,440,-10.800000000000004,False
0.07,445,-11.150000000000002,False
0.07,450,-11.500000000000004,False
0.07,455,-11.850000000000001,False
0.07,460,-12.200000000000003,False
0.07,465,-12.550000000000004,False
0.07,470,-12.900000000000006,False
0.07,475,-13.25,False
0.07,480,-13.600000000000001,False
0.07,485,-13.950000000000003,False
0.07,490,-14.300000000000004,False
0.07,495,-14.650000000000006,False
0.07,500,-15.0,False
0.08,0,20.0,True
0.08,5,19.6,True
0.08,10,19.2,True
0.08,15,18.8,True
0.08,20,18.4,True
0.08,25,18.0,True
0.08,30,17.6,True
0.08,35,17.2,True
0.08,40,16.8,True
0.08,45,16.4,True
0.08,50,16.0,True
0.08,55,15.6,True
0.08,60,15.2,True
0.08,65,14.8,True
0.08,70,14.399999999999999,True
0.08,75,14.0,True
0.08,80,13.6,True
0.08,85,13.2,True
0.08,90,12.8,True
0.08,95,12.399999999999999,True
0.08,100,12.0,True
0.08,105,11.6,True
0.08,110,11.2,True
0.08,115,10.799999999999999,True
0.08,120,10.4,True
0.08,125,10.0,True
0.08,130,9.6,True
0.08,135,9.2,True
0.08,140,8.799999999999999,True
0.08,145,8.4,True
0.08,150,8.0,True
0.08,155,7.6,True
0.08,160,7.199999999999999,True
0.08,165,6.799999999999999,True
0.08,170,6.4,True
0.08,175,6.0,True
0.08,180,5.6,True
0.08,185,5.199999999999999,True
0.08,190,4.799999999999999,True
0.08,195,4.4,True
0.08,200,4.0,True
0.08,205,3.6000000000000014,True
0.08,210,3.1999999999999993,True
0.08,215,2.8000000000000007,True
0.08,220,2.3999999999999986,True
0.08,225,2.0,True
0.08,230,1.5999999999999979,True
0.08,235,1.1999999999999993,True
0.08,240,0.8000000000000007,True
0.08,245,0.3999999999999986,True
0.08,250,0.0,False
0.08,255,-0.40000000000000213,False
0.08,260,-0.8000000000000007,False
0.08,265,-1.1999999999999993,False
0.08,270,-1.6000000000000014,False
0.08,275,-2.0,False
0.08,280,-2.400000000000002,False
0.08,285,-2.8000000000000007,False
0.08,290,-3.1999999999999993,False
0.08,295,-3.6000000000000014,False
0.08,300,-4.0,False
0.08,305,-4.400000000000002,False
0.08,310,-4.800000000000001,False
0.08,315,-5.199999999999999,False
0.08,320,-5.600000000000001,False
0.08,325,-6.0,False
0.08,330,-6.400000000000002,False
0.08,335,-6.800000000000001,False
0.08,340,-7.199999999999999,False
0.08,345,-7.600000000000001,False
0.08,350,-8.0,False
0.08,355,-8.400000000000002,False
0.08,360,-8.8,False
0.08,365,-9.2,False
0.08,370,-9.600000000000001,False
0.08,375,-10.0,False
0.08,380,-10.400000000000002,False
0.08,385,-10.8,False
0.08,390,-11.2,False
0.08,395,-11.600000000000001,False
0.08,400,-12.0,False
0.08,405,-12.399999999999999,False
0.08,410,-12.799999999999997,False
0.08,415,-13.200000000000003,False
0.08,420,-13.600000000000001,False
0.08,425,-14.0,False
0.08,430,-14.399999999999999,False
0.08,435,-14.800000000000004,False
0.08,440,-15.200000000000003,False
0.08,445,-15.600000000000001,False
0.08,450,-16.0,False
0.08,455,-16.4,False
0.08,460,-16.800000000000004,False
0.08,465,-17.200000000000003,False
0.08,470,-17.6,False
0.08,475,-18.0,False
0.08,480,-18.4,False
0.08,485,-18.800000000000004,False
0.08,490,-19.200000000000003,False
0.08,495,-19.6,False
0.08,500,-20.0,False
0.09,0,20.0,True
0.09,5,19.55,True
0.09,10,19.1,True
0.09,15,18.65,True
0.09,20,18.2,True
0.09,25,17.75,True
0.09,30,17.3,True
0.09,35,16.85,True
0.09,40,16.4,True
0.09,45,15.95,True
0.09,50,15.5,True
0.09,55,15.05,True
