p,firm_penalty,firm_honest_payoff,firm_bribe_payoff,firm_prefers_bribe
0.08,0,30.0,70.0,True
0.08,5,30.0,69.6,True
0.08,10,30.0,69.2,True
0.08,15,30.0,68.8,True
0.08,20,30.0,68.4,True
0.08,25,30.0,68.0,True
0.08,30,30.0,67.6,True
0.08,35,30.0,67.2,True
0.08,40,30.0,66.8,True
0.08,45,30.0,66.4,True
0.08,50,30.0,66.0,True
0.08,55,30.0,65.6,True
0.08,60,30.0,65.2,True
0.08,65,30.0,64.8,True
0.08,70,30.0,64.4,True
0.08,75,30.0,64.0,True
0.08,80,30.0,63.6,True
0.08,85,30.0,63.2,True
0.08,90,30.0,62.8,True
0.08,95,30.0,62.4,True
0.08,100,30.0,62.0,True
0.08,105,30.0,61.6,True
0.08,110,30.0,61.2,True
0.08,115,30.0,60.8,True
0.08,120,30.0,60.4,True
0.08,125,30.0,60.0,True
0.08,130,30.0,59.6,True
0.08,135,30.0,59.2,True
0.08,140,30.0,58.8,True
0.08,145,30.0,58.4,True
0.08,150,30.0,58.0,True
0.08,155,30.0,57.6,True
0.08,160,30.0,57.2,True
0.08,165,30.0,56.8,True
0.08,170,30.0,56.4,True
0.08,175,30.0,56.0,True
0.08,180,30.0,55.6,True
0.08,185,30.0,55.2,True
0.08,190,30.0,54.8,True
0.08,195,30.0,54.4,True
0.08,200,30.0,54.0,True
0.08,205,30.0,53.6,True
0.08,210,30.0,53.2,True
0.08,215,30.0,52.8,True
0.08,220,30.0,52.4,True
0.08,225,30.0,52.0,True
0.08,230,30.0,51.599999999999994,True
0.08,235,30.0,51.2,True
