round,regime,p,sanction,expected_penalty,official_accept_payoff,corruption_attempts,accepted_bribes,distorted_awards,honest_public_value,final_public_value,corruption_loss,all_average_propensity,eligible_average_propensity,eligible_median_propensity,all_firms_above_threshold,eligible_losing_firms_above_threshold
67,Post-reform,0.2,100,20.0,0.0,38,0,0,8197.046436923185,8197.046436923185,0.0,0.2936245743315821,0.24203071791447767,0.23145196836800133,209,109
68,Post-reform,0.2,100,20.0,0.0,37,0,0,8197.046436923185,8197.046436923185,0.0,0.29000044775913764,0.23750055969892203,0.22860311084068288,192,92
69,Post-reform,0.2,100,20.0,0.0,37,0,0,8197.046436923185,8197.046436923185,0.0,0.28643957679560184,0.23304947099450235,0.22613336523127178,172,72
70,Post-reform,0.2,100,20.0,0.0,26,0,0,8197.046436923185,8197.046436923185,0.0,0.2841201731031153,0.23015021637889418,0.22598827045820497,160,60
71,Post-reform,0.2,100,20.0,0.0,17,0,0,8197.046436923185,8197.046436923185,0.0,0.28266034115414823,0.22832542644268528,0.2254822450487407,155,55
72,Post-reform,0.2,100,20.0,0.0,17,0,0,8197.046436923185,8197.046436923185,0.0,0.2813254530830621,0.22665681635382776,0.22494603953922954,144,44
73,Post-reform,0.2,100,20.0,0.0,17,0,0,8197.046436923185,8197.046436923185,0.0,0.27998077463535564,0.22497596829419458,0.22434841125379584,132,32
74,Post-reform,0.2,100,20.0,0.0,17,0,0,8197.046436923185,8197.046436923185,0.0,0.2786925783014708,0.2233657228768385,0.22347715980315658,119,19
75,Post-reform,0.2,100,20.0,0.0,10,0,0,8197.046436923185,8197.046436923185,0.0,0.2779395361996544,0.22242442024956804,0.22347715980315658,111,11
76,Post-reform,0.2,100,20.0,0.0,5,0,0,8197.046436923185,8197.046436923185,0.0,0.2775812983726161,0.22197662296577014,0.22299320648340815,108,8
77,Post-reform,0.2,100,20.0,0.0,4,0,0,8197.046436923185,8197.046436923185,0.0,0.2773065279571551,0.22163315994644386,0.2228318721424058,106,6
78,Post-reform,0.2,100,20.0,0.0,4,0,0,8197.046436923185,8197.046436923185,0.0,0.2770320194157398,0.2212900242696748,0.2228318721424058,104,4
79,Post-reform,0.2,100,20.0,0.0,4,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
80,Post-reform,0.2,100,20.0,0.0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
81,Post-reform,0.2,100,20.0,0.0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
82,Post-reform,0.2,100,20.0,0.0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
83,Post-reform,0.2,100,20.0,0.0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
84,Post-reform,0.2,100,20.0,0.0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
85,Post-reform,0.2,100,20.0,0.0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
86,Post-reform,0.2,100,20.0,0.0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
87,Post-reform,0.2,100,20.0,0.0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
88,Post-reform,0.2,100,20.0,0.0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
89,Post-reform,0.2,100,20.0,0.0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
90,Post-reform,0.2,100,20.0,0.0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
91,Post-reform,0.2,100,20.0,0.0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
92,Post-reform,0.2,100,20.0,0.0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
93,Post-reform,0.2,100,20.0,0.0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
94,Post-reform,0.2,100,20.0,0.0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
95,Post-reform,0.2,100,20.0,0.0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
96,Post-reform,0.2,100,20.0,0.0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
97,Post-reform,0.2,100,20.0,0.0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
98,Post-reform,0.2,100,20.0,0.0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
99,Post-reform,0.2,100,20.0,0.0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
100,Post-reform,0.2,100,20.0,0.0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.27677559422097864,0.22096949277622335,0.22269580917526685,100,0
