firm_id,tender_id,propensity_to_bribe,failure_lambda,eligible_loser,round,regime
T046_F1,46,0.5,0.2237074148296593,True,1,Pre-reform
T046_F2,46,0.625,0.22416833667334668,True,1,Pre-reform
T046_F3,46,0.5,0.22462925851703405,False,1,Pre-reform
T046_F4,46,0.5,0.22509018036072143,True,1,Pre-reform
T046_F5,46,0.5,0.22555110220440883,True,1,Pre-reform
T047_F1,47,0.5,0.22601202404809617,False,1,Pre-reform
T047_F2,47,0.5,0.22647294589178357,True,1,Pre-reform
T047_F3,47,0.5,0.22693386773547092,True,1,Pre-reform
T047_F4,47,0.5,0.22739478957915832,True,1,Pre-reform
T047_F5,47,0.625,0.22785571142284566,True,1,Pre-reform
T048_F1,48,0.5,0.22831663326653306,False,1,Pre-reform
T048_F2,48,0.5,0.22877755511022044,True,1,Pre-reform
T048_F3,48,0.625,0.2292384769539078,True,1,Pre-reform
T048_F4,48,0.5,0.22969939879759518,True,1,Pre-reform
T048_F5,48,0.5,0.23016032064128256,True,1,Pre-reform
T049_F1,49,0.5,0.23062124248496993,True,1,Pre-reform
T049_F2,49,0.625,0.2310821643286573,True,1,Pre-reform
T049_F3,49,0.5,0.23154308617234468,True,1,Pre-reform
T049_F4,49,0.5,0.23200400801603205,False,1,Pre-reform
T049_F5,49,0.5,0.23246492985971942,True,1,Pre-reform
T050_F1,50,0.625,0.2329258517034068,True,1,Pre-reform
T050_F2,50,0.5,0.2333867735470942,False,1,Pre-reform
T050_F3,50,0.5,0.23384769539078154,True,1,Pre-reform
T050_F4,50,0.5,0.23430861723446894,True,1,Pre-reform
T050_F5,50,0.5,0.2347695390781563,True,1,Pre-reform
T051_F1,51,0.5,0.2352304609218437,False,1,Pre-reform
T051_F2,51,0.5,0.23569138276553103,True,1,Pre-reform
T051_F3,51,0.625,0.23615230460921843,True,1,Pre-reform
T051_F4,51,0.5,0.2366132264529058,True,1,Pre-reform
T051_F5,51,0.5,0.23707414829659318,True,1,Pre-reform
T052_F1,52,0.625,0.23753507014028055,True,1,Pre-reform
T052_F2,52,0.5,0.23799599198396792,True,1,Pre-reform
T052_F3,52,0.5,0.2384569138276553,True,1,Pre-reform
T052_F4,52,0.5,0.23891783567134267,True,1,Pre-reform
T052_F5,52,0.5,0.23937875751503004,False,1,Pre-reform
T053_F1,53,0.5,0.23983967935871742,False,1,Pre-reform
T053_F2,53,0.5,0.24030060120240482,True,1,Pre-reform
T053_F3,53,0.5,0.24076152304609216,True,1,Pre-reform
T053_F4,53,0.5,0.24122244488977956,True,1,Pre-reform
T053_F5,53,0.625,0.2416833667334669,True,1,Pre-reform
T054_F1,54,0.625,0.2421442885771543,True,1,Pre-reform
T054_F2,54,0.5,0.24260521042084165,True,1,Pre-reform
T054_F3,54,0.5,0.24306613226452906,False,1,Pre-reform
T054_F4,54,0.5,0.24352705410821643,True,1,Pre-reform
T054_F5,54,0.5,0.2439879759519038,True,1,Pre-reform
T055_F1,55,0.5,0.24444889779559117,True,1,Pre-reform
T055_F2,55,0.625,0.24490981963927855,True,1,Pre-reform
T055_F3,55,0.5,0.24537074148296592,True,1,Pre-reform
T055_F4,55,0.5,0.2458316633266533,True,1,Pre-reform
T055_F5,55,0.5,0.24629258517034067,False,1,Pre-reform
T056_F1,56,0.5,0.24675350701402804,True,1,Pre-reform
T056_F2,56,0.5,0.2472144288577154,True,1,Pre-reform
T056_F3,56,0.625,0.24767535070140279,True,1,Pre-reform
T056_F4,56,0.5,0.24813627254509016,False,1,Pre-reform
T056_F5,56,0.5,0.24859719438877753,True,1,Pre-reform
T057_F1,57,0.625,0.24905811623246493,True,1,Pre-reform
T057_F2,57,0.5,0.2495190380761523,True,1,Pre-reform
T057_F3,57,0.5,0.24997995991983968,True,1,Pre-reform
T057_F4,57,0.5,0.2504408817635271,False,1,Pre-reform
T057_F5,57,0.5,0.2509018036072144,True,1,Pre-reform
T058_F1,58,0.5,0.25136272545090177,True,1,Pre-reform
T058_F2,58,0.5,0.25182364729458917,True,1,Pre-reform
T058_F3,58,0.625,0.25228456913827657,True,1,Pre-reform
T058_F4,58,0.5,0.2527454909819639,False,1,Pre-reform
T058_F5,58,0.5,0.25320641282565126,True,1,Pre-reform
T059_F1,59,0.5,0.25366733466933866,False,1,Pre-reform
T059_F2,59,0.5,0.25412825651302606,True,1,Pre-reform
T059_F3,59,0.625,0.2545891783567134,True,1,Pre-reform
T059_F4,59,0.5,0.25505010020040075,True,1,Pre-reform
T059_F5,59,0.5,0.25551102204408815,True,1,Pre-reform
T060_F1,60,0.5,0.25597194388777555,True,1,Pre-reform
T060_F2,60,0.5,0.2564328657314629,True,1,Pre-reform
T060_F3,60,0.5,0.2568937875751503,False,1,Pre-reform
